회사명,corp_eng_name,stock_code,is_defaulted,y_proba
화성밸브,"HS VALVE CO., LTD",039610,1,0.52187578364439
홈캐스트,"homecast CO., LTD.",064240,0,0.4622631453149107
홈센타홀딩스,"Home Center Holdings Co.,Ltd",060560,1,0.5741114043058159
호텔신라,"HOTEL SHILLA CO.,LTD",008770,0,0.2478167859910104
호전실업,Hojeon Limited,111110,0,0.2189591225974715
혜인,HAEIN CORPORATION,003010,1,0.5332866129749315
형지글로벌,"Hyungji Global Co., Ltd.",308100,1,0.6177041444453281
형지I&C,HYUNGJI Innovation and Creative Company Limited,011080,1,0.555609466283104
협진,"Hyupjin Co., Ltd.",138360,1,0.71630464237719
현우산업,"HYUNWOOINDUSTRIALCO.,LTD",092300,1,0.591228896676642
현대힘스,"HYUNDAI HYMS CO., LTD.",460930,0,0.48509996218687
현대홈쇼핑,HYUNDAI HOME SHOPPING NETWORK CORPORATION,057050,1,0.6504949249061242
현대퓨처넷,"Hyundai Futurenet Co., Ltd",126560,1,0.6050006225018512
현대코퍼레이션홀딩스,"HYUNDAI CORPORATION HOLDINGS Co.,Ltd.",227840,1,0.639875603984313
현대코퍼레이션,HYUNDAI CORPORATION,011760,0,0.3448725550859743
현대지에프홀딩스,"HYUNDAI G.F. HOLDINGS CO., LTD.",005440,0,0.3111303564996355
현대제철,HYUNDAI STEEL COMPANY,004020,1,0.5916124493360858
현대자동차,HYUNDAI MOTOR CO,005380,1,0.5487189344397894
현대이지웰,"HYUNDAI EZWEL CO., LTD.",090850,0,0.4910140035382566
현대위아,HYUNDAI WIA,011210,0,0.4331089159951073
현대오토에버,HYUNDAI AUTOEVER CORPORATION.,307950,1,0.5442388368622338
현대엘리베이터,"HYUNDAI ELEVATOR CO.,LTD",017800,1,0.5425325740522116
현대에이치티,"HYUNDAI HT CO,LTD.",039010,1,0.6377299597656186
현대에버다임,HYUNDAI EVERDIGM Corp.,041440,0,0.492372819612817
현대사료,HYUNDAI FEED Inc.,016790,0,0.3633485487178048
현대비앤지스틸,"HYUNDAI BNG STEEL CO., LTD",004560,0,0.4896379649903029
현대백화점,"HYUNDAI DEPARTMENT STORE CO.,LTD",069960,1,0.5101228998402305
현대바이오랜드,"HYUNDAI BIOLAND Co.,Ltd.",052260,1,0.561645223001765
현대바이오,"HYUNDAI BIOSCIENCE CO., LTD.",048410,0,0.4337742490859224
현대무벡스,"HYUNDAI MOVEX Co., Ltd.",319400,1,0.5205786233960498
현대모비스,"HYUNDAI MOBIS CO.,LTD",012330,1,0.6398576775675259
현대리바트,HYUNDAI LIVART FURNITURE COMPANY LIMITED,079430,1,0.5544202110744212
현대로템,Hyundai-Rotem Co.,064350,1,0.5447094234967587
현대글로비스,"HYUNDAI GLOVIS Co., LTD.",086280,1,0.573332735780191
현대공업,"HYUNDAI INDUSTRIAL CO.,LTD",170030,1,0.6231290141254321
현대건설,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",000720,1,0.6509777677622585
현대ADM,Hyundai ADM Bio lnc.,187660,1,0.6112101846274368
헬릭스미스,"Helixmith Co., Ltd",084990,1,0.5472243657973562
헥토파이낸셜,"Hecto Financial Co., Ltd.",234340,1,0.5622211990568182
헥토이노베이션,"Hecto Innovation Co., Ltd.",214180,1,0.6634235497188173
헝셩그룹,HENG SHENG HOLDING GROUP COMPANY LIMITED,900270,1,0.5820350025861503
핸즈코퍼레이션,HANDS CORPORATION LTD.,143210,1,0.6632961228108576
핸디소프트,"HANDYSOFT, Inc.",220180,1,0.641975482994184
해태제과식품,"Haitai Confectionery and Foods Co., Ltd.",101530,1,0.59512884946676
해성옵틱스,"Haesung Optics Co.,Ltd",076610,0,0.4962417801853884
해성에어로보틱스,"Haisung Aero-Robotics Co., Ltd.",059270,1,0.5632496493795033
해성산업,"Haesung Industrial Co., Ltd.",034810,0,0.451313706021159
해성디에스,"HAESUNG DS Co.,Ltd.",195870,1,0.5881305618770633
한화오션,"Hanwha Ocean Co., Ltd.",042660,1,0.6135926720530237
한화엔진,"Hanwha Engine Co., Ltd.",082740,1,0.6266372963773138
한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,1,0.5156721808676716
한화시스템,"HANWHA SYSTEMS Co., Ltd.",272210,1,0.5694106527825602
한화솔루션,HANWHA SOLUTIONS CORPORATION,009830,0,0.4741627823108268
한화,HANWHA CORP,000880,0,0.3790675147866937
한텍,HANTECH LTD.,098070,0,0.4121622784896105
한탑,Hantop Inc.,002680,1,0.5822592974320493
한켐,"HANCHEM CO.,LTD",457370,1,0.5164711142639401
한컴위드,Hancom WITH Inc.,054920,0,0.4281589913078643
한컴라이프케어,Hancom Lifecare Inc.,372910,0,0.4940245123194575
한창제지,"HANCHANG PAPER CO.,LTD",009460,0,0.2274252265354654
한창산업,"HanchangIndustryCo.,Ltd.",079170,1,0.5715566551810054
한창,HANCHANG CORPORATION,005110,1,0.5260464585652561
한진칼,HANJINKAL,180640,1,0.5942710098316087
한진중공업홀딩스,"HANJIN HEAVY IND. & CONST. HOLDINGS CO., LTD",003480,1,0.5126096215396921
한진,"HANJIN TRANSPORTATION CO.,LTD",002320,0,0.4529426018415385
한중엔시에스,"HanJungNCS.Co.,Ltd",107640,1,0.569751732874258
한주에이알티,"HANJOO ART Co.,LTD.",058450,1,0.6002560898960811
한주라이트메탈,"HANJOO LIGHT METAL CO., LTD.",198940,1,0.6575134764237579
한전산업,"Korea Electronic Power Industrial Development Co., Ltd",130660,1,0.6714192458438488
한전기술,"KEPCO Engineering & Construction Company, Inc",052690,0,0.3651050002908144
한전KPS,"KEPCO Plant Service & Engineering Co., Ltd",051600,1,0.5665440142082145
한일화학,"HANIL CHEMICAL IND. CO.,LTD",007770,0,0.2266543761016943
한일홀딩스,"HANIL HOLDINGS CO.,LTD.",003300,1,0.5075716681956457
한일현대시멘트,"HANIL HYUNDAI CEMENT CO.,LTD",006390,0,0.4387026505777788
한일철강,"HANIL IRON & STEEL CO.,LTD",002220,1,0.5062069091947279
한일시멘트,"HANILCEMENTCO.,LTD.",300720,0,0.4862023067512677
한일사료,HANIL FEED Co.Ltd,005860,1,0.585834443693679
한일단조,HanilForgingIndustrial,024740,1,0.5595198851895338
한익스프레스,"HAN EXPRESS CO.,LTD",014130,1,0.5169037123527259
한울앤제주,"HanWool & Jeju, Inc.",276730,1,0.5546416270206669
한울소재과학,"HanWool Materials Science, Inc.",091440,1,0.6475260680862388
한울비앤씨,"HanulBnC CO.,LTD",214870,1,0.541129430673602
한울반도체,"HanWool Semiconductor, Inc.",320000,0,0.4747917073316506
한올바이오파마,"HANALL BIOPHARMA CO.,LTD",009420,0,0.2446142586618203
한온시스템,Hanon Systems,018880,1,0.5879882554471505
한양이엔지,"HANYANG ENG CO.,LTD",045100,0,0.0018682386751375
한양디지텍,"HANYANG DIGITECH CO.,LTD.",078350,0,0.0022402504052498
한싹,"Hanssak Co., Ltd.",430690,0,0.4290484572396127
한신기계공업,HANSHIN MACHINERY CO,011700,1,0.5512362105435228
한신공영,"HANSHIN CONSTRUCTION CO.,LTD",004960,0,0.4951091428727368
한송네오텍,"HANSONGNEOTECH CO.,LTD.",226440,1,0.6802588389020148
한솔홈데코,"Hansol HomeDeco co.,ltd.",025750,1,0.5005939616129896
한솔홀딩스,"Hansol Holdings Co., Ltd.",004150,0,0.4840578433119809
한솔피엔에스,"HANSOL PNS CO.,LTD.",010420,0,0.3969130819947326
한솔테크닉스,"Hansol Technics Co., Ltd",004710,1,0.5344844035239164
한솔케미칼,"Hansol Chemical Co., Ltd",014680,1,0.6086565717176219
한솔제지,"Hansol Paper Co., Ltd",213500,1,0.5191836321744385
한솔인티큐브,"Hansol Inticube Co., Ltd.",070590,1,0.5969012052017098
한솔아이원스,"Hansol IONES Co., Ltd.",114810,1,0.678075355799599
한솔로지스틱스,"Hansol Logistics CO., Ltd",009180,0,0.408249038546914
한세예스24홀딩스,"HANSAE YES24 HOLDINGS CO., LTD ",016450,1,0.6698591286946367
한세엠케이,"HANSAEMK CO.,LTD.",069640,1,0.56648902699449
한세실업,"HANSAE CO.,LTD.",105630,1,0.6043370308583114
한성크린텍,"HANSUNG CLEANTECH CO., LTD.",066980,1,0.5562300360768618
한성기업,"HANSUNG ENTERPRISE CO.,LTD",003680,0,0.3203479485018259
한섬,HANDSOME CORPORATION,020000,1,0.5124026277125769
한선엔지니어링,"HANSUN ENGINEERING CO., LTD.",452280,0,0.3788516347988589
한샘,"HANSSEM CO.,LTD.",009240,1,0.5663434843038802
한빛소프트,HANBIT SOFT Inc.,047080,1,0.5494427162364842
한빛레이저,HBL Corporation,452190,0,0.3471393379748368
한미약품,"Hanmi Pharm. Co., Ltd.",128940,0,0.3288207407930624
한미사이언스,"Hanmi Science Co.,Ltd",008930,1,0.5813775975964552
한미반도체,"HANMI Semiconductor CO., LTD.",042700,1,0.5551310044825888
한미글로벌,"HanmiGlobal Co., Ltd.",053690,0,0.3309229518524563
한라IMS,"HANLA IMS Co., LTD",092460,1,0.5998493698671551
한독크린텍,"Handok Clean Tech Co., Ltd.",256150,1,0.6376036603680476
한독,HANDOK Inc.,002390,0,0.4104727906085397
한농화성,HANNONG CHEMICALS INC,011500,0,0.1645246614005503
한네트,"HANNET CO., LTD.",052600,1,0.6516717508548222
한글과컴퓨터,HANCOM INC.,030520,1,0.5434039919643898
한국화장품제조,"HANKOOK COSMETICS MANUFACTURING CO.,LTD",003350,1,0.6360457831594839
한국화장품,"HANKOOK COSMETICS CO.,LTD.",123690,1,0.7274723293122335
한국항공우주,"KOREA AEROSPACE INDUSTRIES, LTD.",047810,1,0.654528888706217
한국피아이엠,"PIM KOREA Co.,Ltd.",448900,1,0.5978464028314235
한국팩키지,"HANKUK PACKAGE CO., LTD.",037230,1,0.5769629051397878
한국파마,"KOREA PHARMA Co., Ltd.",032300,1,0.5932360548392532
한국특강,"KOREA STEEL CO.,LTD",007280,1,0.5365726642936189
한국테크놀로지,HANKOOK Technology Inc.,053590,1,0.675775645925
한국타이어앤테크놀로지,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",161390,1,0.5739827935337615
한국큐빅,CUBIC KOREA INC.,021650,1,0.5189339559393354
한국콜마,"KOLMAR KOREA CO.,LTD",161890,1,0.6647614835471963
한국컴퓨터,KOREA COMPUTER INC.,054040,1,0.6084225091296553
한국카본,"HANKUK CARBON CO.,LTD",017960,0,0.3812145503169874
한국첨단소재,"KOREA ADVANCED MATERIALS Co.,Ltd.",062970,1,0.547566390242545
한국철강,KISCO Corp.,104700,1,0.6201592910519825
한국주철관공업,"KOREA CASTIRON PIPE IND CO.,LTD",000970,1,0.5571453729218115
한국주강,"HANKOOK STEEL CO.,LTD",025890,0,0.3007455835782758
한국종합기술,Korea Engineering Consultants Corp.,023350,1,0.6858858761583231
한국제지,"Hankuk Paper MFG. CO., LTD",027970,1,0.5962448833010424
한국정보통신,KoreaInformation&Communication,025770,1,0.5004533539106242
한국정보인증,"KOREA INFORMATION CERTIFICATE AUTHORITY, INCORPORATED",053300,1,0.5579642189179003
한국정보공학,"Korea Information Engineering Services Co., Ltd",039740,0,0.339496227037144
한국정밀기계,"HNK MACHINE TOOL CO.,LTD.",101680,1,0.5085702210575019
한국전자홀딩스,"KEC HOLDINGS CO.,LTD",006200,1,0.6106337172258686
한국전자인증,KOREA ELECTRONIC CERTIFICATION AUTHORITY,041460,0,0.2769105898703572
한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760,0,0.3158795297519773
한국유니온제약,"UNION KOREA PHARM CO.,Ltd",080720,1,0.6750829394541338
한국앤컴퍼니,"HANKOOK & COMPANY CO., LTD.",000240,1,0.5382675643049158
한국알콜,KoreaAlcoholIndustrial,017890,0,0.4682973803330416
한국쉘석유,"HANKOOK SHELL OIL CO.,LTD",002960,0,0.4637960679168059
한국수출포장공업,"KOREA EXPORT PACKAGING INDUSTRIAL CO.,LTD",002200,1,0.5754333202973965
한국선재,"HANKUK STEEL WIRE CO., LTD.",025550,0,0.4058863696008225
한국석유공업,KOREA PETROLEUM INDUSTRIES COMPANY,004090,1,0.5202257875392653
한국비티비,"BTB Korea Co.,Ltd",219750,1,0.5958010984750486
한국비엔씨,"BNC Korea Co, Ltd",256840,1,0.6061918813790599
한국무브넥스,"KOREA MOVENEX CO., LTD.",010100,0,0.4397718534795439
한국맥널티,"Mcnulty Korea Co., Ltd",222980,1,0.668798116388528
한국단자공업,"KOREA ELECTRIC TERMINAL CO.,LTD",025540,1,0.5652585330213757
한국내화,"KOREA REFRACTORIES CO.,LTD",010040,0,0.1614836934829778
한국기업평가,Korea Ratings Corporation,034950,0,0.1196160327703563
한국공항,"KOREA AIRPORT SERVICE CO.,LTD",005430,0,0.3427211079296255
한국경제TV,"The Korea Economic Broadcasting CO.,LTD.",039340,1,0.6546601575089187
한국가스공사,KoreaGasCorporation,036460,1,0.5071334201494535
한국가구,KoreaFurniture,004590,0,0.4826080671334598
하츠,HAATZ Inc.,066130,1,0.510209703774731
하이퍼코퍼레이션,Hyper Corporation Inc.,065650,1,0.5509478490066354
하이트진로홀딩스,"HITEJINRO HOLDINGS CO., LTD",000140,1,0.5173955312328506
하이트진로,HITE JINRO,000080,0,0.499352758065196
하이텍팜,"HIGH TECH PHARM CO.,LTD.",106190,0,0.4786019047537565
하이즈항공,"HIZEAERO Co.,Ltd.",221840,1,0.6047545671661946
하이젠알앤엠,"HIGEN RNM CO., LTD",160190,1,0.5934386998972575
하이스틸,"HISTEEL CO., LTD",071090,0,0.4664645466739456
하이비젼시스템,HyVISION SYSTEM.INC,126700,0,0.3386125309174734
하이브,"HYBE Co., Ltd.",352820,1,0.5970000340680303
하이록코리아,HY-LOK CORPORATION,013030,1,0.5513280976876138
하이로닉,"Hironic Co.,Ltd",149980,1,0.6313231509825772
하이딥,HiDeep Inc.,365590,0,0.4408561347174946
하이드로리튬,Hydro Lithium Inc,101670,1,0.6261886326563364
하스,HASS Corp.,450330,0,0.0022749729365379
하림지주,"Harim Holdings Co., Ltd.",003380,1,0.5139129636418007
하림,"HARIM Co., Ltd.",136480,1,0.5208139858387041
하나투어,HANATOUR SERVICE INC.,039130,1,0.5440231254353798
하나제약,"Hana Pharm. Co., Ltd.",293480,1,0.6333946591212212
하나머티리얼즈,Hana Materials Inc.,166090,1,0.5707464102962517
하나마이크론,HanaMicronInc.,067310,1,0.6935246229861708
하나기술,"HANA TECHNOLOGY CO.,LTD.",299030,1,0.6769641244281268
핑거스토리,"Finger Story CO., LTD.",417180,0,0.4942320582173588
핑거,Finger Inc.,163730,1,0.6225089077441059
핌스,PIMS Inc.,347770,0,0.4916057324373252
필옵틱스,"PHILOPTICS CO., LTD.",161580,1,0.5932858041344401
필에너지,"PHILENERGY CO., LTD.",378340,1,0.5323568550380642
핀텔,"Pintel Co.,Ltd.",291810,1,0.6404436495277785
픽셀플러스,"Pixelplus. Co., Ltd.",087600,0,0.4844824029411201
피플바이오,"PeopleBio, Inc.",304840,1,0.5494820724448753
피코그램,"picogram Co., Ltd.",376180,1,0.6114899557805548
피제이전자,"PJ ELECTRONICS CO., LTD.",006140,0,0.4630989142580338
피제이메탈,"PJ METAL CO., LTD",128660,1,0.6601336741902244
피엠티,Protec Mems Technology Inc.,147760,1,0.7127260765471602
피엔티엠에스,"People & Technology Ms, Inc.",257370,1,0.5977011077394007
피엔티,"PEOPLE & TECHNOLOGY, INC.",137400,1,0.618602588905565
피엔케이피부임상연구센타,"P&K Skin Research Center Co.,Ltd.",347740,1,0.5991761507709008
피엔에이치테크,"P&H TECH Co., Ltd.",239890,0,0.4535591187593375
피에이치에이,"PHA Co., Ltd.",043370,1,0.6030522738032728
피에스텍,"PS Tec. Co., Ltd.",002230,1,0.5764075158441289
피에스케이홀딩스,PSK HOLDINGS INC.,031980,1,0.5954653077136176
피에스케이,PSK INC.,319660,1,0.5407978972686875
피앤에스미캐닉스,"P&S Mechanics Co., Ltd.",460940,1,0.5807587219790867
피앤씨테크,"PNC Technologies Co.,Ltd.",237750,1,0.7594902380989214
피아이이,"PIE CO., LTD.",452450,1,0.5411659652225821
피씨엘,PCL. Inc,241820,1,0.5819810542976953
피씨디렉트,"PC Direct, Inc.",051380,1,0.6458889983602158
피델릭스,"Fidelix Co., Ltd.",032580,1,0.5677764057725041
피노텍,"Finotek Co.,Ltd.",150440,1,0.5912010565738554
피노,FINO INC.,033790,1,0.5780345821577845
플리토,Flitto Inc.,300080,1,0.5111819374716586
플레이위드,PLAYWITH KOREA Inc.,023770,1,0.617520382210586
플레이디,"PlayD Co., Ltd.",237820,1,0.6517611693126298
플레이그램,"Playgram Co., Ltd.",009810,0,0.4911747333726501
플랜티넷,"PLANTYNETCo.,Ltd.",075130,1,0.5463860698164906
플래티어,"Plateer Co., Ltd.",367000,1,0.6439424015292223
플래스크,"Flask Co., Ltd.",041590,1,0.6481436908330728
플라즈맵,"Plasmapp Co., Ltd.",405000,1,0.521939062462717
프리엠스,FreeMs Corporation,053160,1,0.5193560244407074
프리시젼바이오,Precision Biosensor Inc.,335810,0,0.2248254226954762
프롬바이오,"From Bio Co., Ltd.",377220,0,0.484285804948153
프로티아,PROTIA INC.,303360,0,0.2356663973618311
프로텍,"PROTEC Co., Ltd.",053610,1,0.6361358545681373
프로이천,"PRO2000 CO.,LTD.",321260,0,0.4923774066289715
프럼파스트,"PLUMB FAST CO., LTD.",035200,1,0.657061839359503
퓨쳐켐,"FutureChem Co., Ltd.",220100,1,0.507573494881719
퓨처코어,"FutureCore Co.,Ltd.",151910,1,0.5380684395312815
퓨릿,"Purit Co., Ltd.",445180,1,0.5936154059299193
퓨런티어,Furonteer Inc.,370090,1,0.5114673443676704
풍원정밀,"POONGWON PRECISION Co.,Ltd.",371950,1,0.5172845328529908
풍산홀딩스,POONGSAN HOLDINGS CORPORATION,005810,0,0.3893322132654465
풍산,POONGSAN CORPORATION,103140,0,0.1182559520397004
풍국주정,"Pungguk Ethanol Co.,Ltd.",023900,1,0.6058363791688741
풀무원,Pulmuone Corporate,017810,1,0.6099144288476845
푸른소나무,"Green pine tree Co., Ltd",057880,1,0.5740335185225833
푸른기술,PULOONTECHNOLOGYINC.,094940,1,0.5247327400143081
푸드웰,FOODWELL CORPORATION,005670,0,0.4842028521346092
푸드나무,"FOODNAMOO, INC.",290720,1,0.5400478661163374
폴라리스우노,"POLARIS UNO, Inc.",114630,1,0.6669560702520599
폴라리스오피스,Polaris Office Corp.,041020,1,0.5426207034365294
폴라리스세원,"Sewon Co.,Ltd",234100,1,0.5747354031815766
폴라리스AI파마,Polaris AI Pharma Corp.,041910,1,0.58708176281839
폴라리스AI,Polaris AI Corp.,039980,1,0.6049210283878954
포톤,"PHOTON CO., LTD",208710,1,0.7912155561701177
포커스에이아이,"FOCUS AI Co., Ltd.",331380,0,0.344950534877058
포인트엔지니어링,"POINT ENGINEERING Co., Ltd.",256630,1,0.6384725032203105
포인트모바일,"POINT MOBILE Co., Ltd.",318020,1,0.5940183959802382
포스코인터내셔널,POSCO INTERNATIONAL,047050,1,0.6280128357559264
포스코엠텍,"POSCO M-TECH CO.,LTD.",009520,0,0.3396144677700171
포스코스틸리온,"POSCO STEELEON Co.,Ltd.",058430,1,0.5959633535065444
포스코DX,POSCO DX COMPANY LTD.,022100,0,0.4233114062531207
포스뱅크,"POSBANK CO., LTD.",105760,1,0.7833755624795549
포바이포,4by4 Inc.,389140,1,0.5433739285216059
포메탈,"FORMETAL CO., LTD",119500,1,0.5394685749092777
포니링크,"PonyLink Co., Ltd.",064800,0,0.0034113322985739
평화홀딩스,"Pyung Hwa Holdings Co.,Ltd.",010770,1,0.5652721457882677
평화산업,"PYUNG HWA INDUSTRIAL CO., LTD",090080,1,0.6007301466476445
펩트론,"Peptron, Inc.",087010,1,0.5543202636039473
펨트론,PEMTRON Corporation,168360,1,0.7135560568346034
페이퍼코리아,PaperCorea Inc.,001020,1,0.539875612933618
펌텍코리아,"PUM-TECH KOREA CO., LTD.",251970,0,0.2826174501726763
펄어비스,PearlAbyss Corp.,263750,1,0.6926166723845343
퍼시스,FURSYS INC,016800,1,0.5479523448689206
퍼스텍,"FIRSTEC CO.,LTD.",010820,1,0.545177860979669
팸텍,"PAMTEK CO., LTD.",271830,1,0.5744224128154839
팬젠,Pangen Biotech Inc.,222110,1,0.6772973899931967
팬오션,"Pan Ocean Co., Ltd.",028670,1,0.5651882835663931
팬엔터테인먼트,"PANENTERTAINMENTCO.,LTD.",068050,0,0.4693126934650204
팬스타엔터프라이즈,"Panstar Enterprise Co., Ltd.",054300,1,0.519226259016132
패션플랫폼,"Fashion Platform Co.,Ltd.",225590,1,0.502463891238638
팜젠사이언스,"PharmGen Science, Inc.",004720,1,0.5660032969942077
팜스토리,"FarmStory CO.,LTD.",027710,1,0.6834478630059158
팜스코,FARMSCO,036580,0,0.4895537939190951
팜스빌,"Pharmsville Co., Ltd.",318010,0,0.3069466105601992
파트론,"PARTRONCO.,LTD",091700,1,0.5099770291757265
파크시스템스,Park Systems Corp.,140860,0,0.4809163598286014
파커스,"PAKERS CO., Ltd.",065690,1,0.5590274808582794
파인텍,"FINETEK CO., LTD.",131760,1,0.6118945821599193
파인테크닉스,"FINE TECHNIX CO., LTD",106240,0,0.4961193396219487
파인엠텍,"Fine M-Tec Co.,Ltd.",441270,1,0.5716515034467006
파인메딕스,"Finemedix Co., Ltd.",387570,1,0.6208026489428935
파인디지털,FINEDIGITAL Inc.,038950,1,0.6283845276770748
파인디앤씨,"FINE DNC CO.,LTD.",049120,0,0.4770251481190885
파이오링크,"Piolink, Inc.",170790,1,0.7331272561473131
파이버프로,"FIBERPRO, Inc.",368770,0,0.4135553233423446
파워로직스,POWER LOGICS,047310,0,0.1265581790962177
파워넷,POWERNET TECHNOLOGIES CORPORATION,037030,1,0.5936586287834115
파수,"FASOO Co.,Ltd.",150900,1,0.5684351908394487
파세코,PASECO CO.LTD,037070,1,0.6298508655019431
파버나인,"PAVONINE CO., LTD.",177830,1,0.6383387965914346
파미셀,"Pharmicell Co.,Ltd.",005690,0,0.4473520632273293
파멥신,PharmAbcine Inc.,208340,1,0.5583187132375278
파마리서치,"PharmaResearch Co., Ltd.",214450,0,0.1707412148549855
파루,"PARU CO., LTD.",043200,1,0.5996615523035134
파로스아이바이오,"Pharos iBio Co., Ltd.",388870,0,0.4751390786683064
파라텍,Paratech Company Limited,033540,0,0.4998211634064968
파라다이스,"PARADISE.Co.,Ltd.",034230,1,0.5161452079188075
파두,FADU INC.,440110,1,0.5814254187561558
파나케이아,PANACEA Inc.,058530,1,0.5050534875038233
팅크웨어,ThinkwareSystemsCorporation,084730,1,0.6057602809410468
티피씨글로벌,"TPC CO., LTD",130740,1,0.6072348442292808
티플랙스,"Tplex Co., Ltd",081150,1,0.517506591411199
티케이케미칼,TK CHEMICAL CORPORATION,104480,0,0.4200866861509395
티케이지휴켐스,"TKG Huchems Co.,Ltd.",069260,1,0.6428145483797628
티이엠씨씨엔에스,"TEMC CNS Co., Ltd.",241790,0,0.4914122466956548
티이엠씨,"TEMC Co., Ltd.",425040,1,0.608878840762053
티웨이홀딩스,Tway Holdings Incorporation,004870,0,0.362726088114609
티웨이항공,"T'way Air Co., Ltd.",091810,0,0.4603260633374083
티움바이오,"TiumBio Co., Ltd.",321550,1,0.6200257592249288
티와이홀딩스,"TY Holdings Co., Ltd.",363280,0,0.4982290423882894
티엘아이,TLIInc.,062860,1,0.5550886827581536
티엘비,"TLB Co., Ltd.",356860,1,0.5283209733102717
티엔엔터테인먼트,"TN entertainment Co., Ltd.",131100,0,0.0018499959666687
티엑스알로보틱스,"TXR Robotics Co., Ltd.",484810,1,0.6194598434745119
티에프이,"TFE Co., Ltd.",425420,1,0.599687709917825
티에이치엔,THN CORPORATION,019180,1,0.6067271224800292
티에스이,"TSE CO.,Ltd",131290,1,0.6204756337292551
티에스아이,"TSI Co., Ltd.",277880,0,0.1702268833522454
티에스넥스젠,"TS Nexgen Co., Ltd.",043220,1,0.7314256808395188
티앤엘,"T&L Co., LTD.",340570,1,0.6128979886954442
티앤알바이오팹,"T&R Biofab Co., Ltd",246710,1,0.5819495461238653
티씨케이,"TOKAI CARBON KOREA CO., LTD",064760,1,0.6375253270958656
티씨머티리얼즈,"TC Materials Co., Ltd.",125020,1,0.5748733223029353
티쓰리,T3 Entertainment Inc.,204610,1,0.609727384297383
티사이언티픽,"T Scientific Co.,Ltd",057680,0,0.4500614596787342
티비에이치글로벌,"TBH GLOBAL CO.,LTD",084870,1,0.5476453211805385
티비씨,TBC,033830,0,0.3103133866565408
